"","reads.in","reads.out"
"bilgedribblet0t2_S289_L001_R1_001.fastq.gz",15982,15980
"bilgedribbletft2_S292_L001_R1_001.fastq.gz",13916,13912
"blank10r1_S607_L001_R1_001.fastq.gz",551,550
"blank11r1_S578_L001_R1_001.fastq.gz",47,46
"blank12r1_S580_L001_R1_001.fastq.gz",2085,2084
"blank13r1_S614_L001_R1_001.fastq.gz",86,83
"blank14r1_S609_L001_R1_001.fastq.gz",67,67
"blank15r1_S610_L001_R1_001.fastq.gz",235,232
"blank16r1_S586_L001_R1_001.fastq.gz",145,145
"blank17r1_S608_L001_R1_001.fastq.gz",19921,19900
"blank18Ar1_S579_L001_R1_001.fastq.gz",1221,1221
"blank18Br1_S613_L001_R1_001.fastq.gz",876,876
"blank19r1_S584_L001_R1_001.fastq.gz",25,23
"blank1r1_S577_L001_R1_001.fastq.gz",125,125
"blank20r1_S589_L001_R1_001.fastq.gz",199,199
"blank21Ar1_S594_L001_R1_001.fastq.gz",100,97
"blank21Br1_S599_L001_R1_001.fastq.gz",3226,3222
"blank22r1_S604_L001_R1_001.fastq.gz",6,4
"blank23Ar1_S593_L001_R1_001.fastq.gz",6522,6517
"blank23Br1_S598_L001_R1_001.fastq.gz",6189,6189
"blank24r1_S603_L001_R1_001.fastq.gz",9157,9157
"blank25r1_S588_L001_R1_001.fastq.gz",922,922
"blank26Ar1_S600_L001_R1_001.fastq.gz",4370,4370
"blank26Br1_S605_L001_R1_001.fastq.gz",1658,1653
"blank27Ar1_S590_L001_R1_001.fastq.gz",1310,1307
"blank27Br1_S595_L001_R1_001.fastq.gz",1639,1639
"blank28Ar1_S591_L001_R1_001.fastq.gz",360,360
"blank29Ar1_S581_L001_R1_001.fastq.gz",106,106
"blank29Br1_S615_L001_R1_001.fastq.gz",1051,1051
"blank2r1_S582_L001_R1_001.fastq.gz",473,472
"blank30r1_S585_L001_R1_001.fastq.gz",5194,5187
"blank31r1_S484_L001_R1_001.fastq.gz",605,604
"blank3r1_S23_L001_R1_001.fastq.gz",5761,5743
"blank4r1_S592_L001_R1_001.fastq.gz",367,365
"blank5r1_S602_L001_R1_001.fastq.gz",9,9
"blank6r1_S587_L001_R1_001.fastq.gz",2989,2989
"blank7r1_S597_L001_R1_001.fastq.gz",544,544
"blank8r1_S612_L001_R1_001.fastq.gz",336,336
"blank9r1_S583_L001_R1_001.fastq.gz",1130,1124
"c10t1bf_S59_L001_R1_001.fastq.gz",17925,17919
"c10t1bw_S65_L001_R1_001.fastq.gz",11055,11053
"c10t1hull_S53_L001_R1_001.fastq.gz",10573,10571
"c10t1post_S21_L001_R1_001.fastq.gz",15033,15032
"c10t1pre_S9_L001_R1_001.fastq.gz",2353,2352
