"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1","sp1","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,756.653846153846,2.74193546529709,0.270965350622905,10.1191368527151,4.54405121989828e-24,2.07208735627361e-21,"Baltimore vs. Norfolk","Enriched","Cyanobium PCC-6307"
"2","sp2","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,475.942307692308,-0.48046179540079,0.290652903571627,-1.6530431641891,0.0983220791486331,0.25131652517812,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"3","sp3","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,480.538461538462,2.77834059022831,0.283823258590828,9.78898136827359,1.25554356344221e-22,4.08948474949749e-20,"Baltimore vs. Norfolk","Enriched","Cyanobium PCC-6307"
"4","sp4","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,300.442307692308,-0.482679999648091,0.300229963768715,-1.60770095559125,0.10790068919634,0.267479060064323,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"5","sp6","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,113.961538461538,-1.99347434500402,0.736455481121737,-2.70684976363764,0.00679249887037425,0.033162521251506,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"6","sp8","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,42.9038461538462,5.24651503660275,0.771746848084046,6.79823318958523,1.05909932733625e-11,5.74939634839678e-10,"Baltimore vs. Norfolk","Enriched","Synechococcus CC9902"
"7","sp9","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,55.2307692307692,-2.39187140035277,0.82661482048863,-2.89357429974324,0.00380884164880533,0.0202019758072068,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"8","sp10","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,55.1538461538462,3.34827043481323,0.73626219847793,4.54766038747485,5.42455775260657e-06,6.27816836342284e-05,"Baltimore vs. Norfolk","Enriched","Clade Ia"
"9","sp11","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,66.5769230769231,-3.6440686192337,0.736018367742144,-4.95105662975839,7.38116192670748e-07,1.12147232451762e-05,"Baltimore vs. Norfolk","Enriched","CL500-29 marine group"
"10","sp12","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA,126.403846153846,6.94808416834949,0.68640880849148,10.1223703460614,4.3963736315273e-24,2.07208735627361e-21,"Baltimore vs. Norfolk","Enriched","Unclassified Genus"
"11","sp13","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,90.7884615384615,0.0919193051520623,0.567666588603159,0.161924811143537,0.871365064185072,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"12","sp14","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,26.1923076923077,4.41073307803855,0.74295349456487,5.93675527513578,2.90718112740236e-09,8.60827658503556e-08,"Baltimore vs. Norfolk","Enriched","Synechococcus CC9902"
"13","sp15","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3",NA,122.961538461538,-0.538819253827082,0.540222415061822,-0.997402623075942,0.318569118636688,0.478999067021838,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"14","sp16","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,30.1538461538462,3.76952331536608,0.76454156093247,4.93043610443964,8.20462495080646e-07,1.21471070700252e-05,"Baltimore vs. Norfolk","Enriched","Clade Ia"
"15","sp17","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,35.0961538461538,-4.39704277123824,0.752784952334426,-5.84103435862099,5.18777027682427e-09,1.37536235246039e-07,"Baltimore vs. Norfolk","Enriched","CL500-29 marine group"
"16","sp21","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,114.134615384615,-2.14991519028695,0.88021658646185,-2.44248429688064,0.0145865641802022,0.0602488520486613,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"17","sp22","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,164.769230769231,-2.97976463407885,0.637299202709209,-4.67561330912017,2.93076399923882e-06,3.74756154169314e-05,"Baltimore vs. Norfolk","Enriched","Cyanobium PCC-6307"
"18","sp23","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA,72.5576923076923,6.00748924386317,0.783249499259382,7.66995606067247,1.72055279385755e-14,1.56914414799808e-12,"Baltimore vs. Norfolk","Enriched","Unclassified Genus"
"19","sp24","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,62.1538461538462,4.34509716592598,0.555388747858025,7.82352394189433,5.13647821953381e-15,5.09181319153787e-13,"Baltimore vs. Norfolk","Enriched","Unclassified Genus"
"20","sp25","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,34.8461538461538,-2.0703866394767,0.668396703779886,-3.09754166615177,0.00195132963206358,0.0118325307476196,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"21","sp26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,33.5961538461538,0.732095320979957,0.824942829405514,0.887449766073527,0.374836800145215,0.526897598231252,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"22","sp27","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","tunicata",8.76923076923077,4.02236455233763,0.775885210137479,5.18422635176267,2.16913368501991e-07,3.83381767584915e-06,"Baltimore vs. Norfolk","Enriched","Pseudoalteromonas"
"23","sp30","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Aquiluna",NA,32.2884615384615,2.7610098436471,0.746554090394338,3.69833864574864,0.000217015234231591,0.00168871922883286,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"24","sp32","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,15.6923076923077,3.90688685833034,0.705279645059603,5.53948619628767,3.03360355084427e-08,6.78099617247543e-07,"Baltimore vs. Norfolk","Enriched","Synechococcus CC9902"
"25","sp33","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade III",NA,NA,29.1923076923077,2.12759719604893,0.730628870230395,2.91200811073619,0.00359113310610055,0.01926537289861,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"26","sp34","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,127.884615384615,0.64778266755311,0.517858912682086,1.25088639335785,0.210975928820309,0.388337866122143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"27","sp35","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA,20.5961538461538,-3.14068421070343,0.738780043436643,-4.25117629882591,2.12650689722503e-05,0.000215486032252137,"Baltimore vs. Norfolk","Enriched","Phaeodactylibacter"
"28","sp36","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,72.2115384615385,-2.19501070487968,0.832477396142713,-2.63672108702323,0.00837116297401705,0.0386339990417386,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"29","sp37","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,36.3846153846154,5.7736842355564,0.677644686081341,8.52022358345972,1.59245597748716e-17,3.02566635722561e-15,"Baltimore vs. Norfolk","Enriched","Unclassified Genus"
"30","sp38","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,21.75,-4.52640683910966,0.641492724173396,-7.05605327783293,1.7129817024064e-12,1.05556710310448e-10,"Baltimore vs. Norfolk","Enriched","hgcI clade"
"31","sp39","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,100.384615384615,-2.99936208770681,0.597958382612757,-5.01600475036608,5.27570247172937e-07,8.29558733485722e-06,"Baltimore vs. Norfolk","Enriched","Cyanobium PCC-6307"
"32","sp41","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3",NA,42.1923076923077,-1.22515839569859,0.809287605785387,-1.51387267881066,0.130058134734168,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"33","sp43","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,10.4423076923077,-2.87736828842518,0.702705534768745,-4.09469990779581,4.22715547554843e-05,0.000394996495256165,"Baltimore vs. Norfolk","Enriched","CL500-29 marine group"
"34","sp44","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,22.1730769230769,5.11893638021061,0.750466819398879,6.82100293829228,9.0407092583099e-12,5.02751636803575e-10,"Baltimore vs. Norfolk","Enriched","Clade Ia"
"35","sp45","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","tunicata",2.23076923076923,1.87446840854444,0.615173470879084,3.04705663894417,0.00231094160859642,0.0134755674363167,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"36","sp47","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","OM43 clade",NA,49.1538461538462,0.646891389144864,0.690185980540356,0.937271123123081,0.348619112932112,0.511816856075477,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"37","sp49","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA,35.6923076923077,1.52431146591716,0.715556427589547,2.13024634696108,0.0331512805286448,0.115396823824901,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"38","sp50","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA,35.6538461538462,-0.216873970674561,0.655937125885751,-0.330632254397406,0.740922279706867,0.879387192988889,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"39","sp54","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,10.6346153846154,3.46488304646877,0.672548816829749,5.15186847372878,2.57903894113378e-07,4.52323752752693e-06,"Baltimore vs. Norfolk","Enriched","Synechococcus CC9902"
