location_sampled,sample_type,sample_description,sample_detail_description,latitude,longitude,boat_name,transit,location_description,location,npoc_um,tn_um,phosphate_umoll,silicate_umoll,nn_umoll,ammonia_umoll,tds_mgl,temp_f,temp_c,odo_mgl,ph,orp,location_sampled_w_boat_name,rownames,geographic_order,true_geographic_order,km_to_baltimore
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank1,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank10,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank11,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank12,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank13,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank14,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank15,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank16,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank17,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank18A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank18B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank19,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank2,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank20,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank21A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank21B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank23A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank23B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank24,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank25,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank26A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank26B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank27A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank27B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank28A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank29A,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank29B,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank30,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank31r1,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank3r1,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank4,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank6,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank7,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank8,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank9,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P1negcontrol1,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P1negcontrol2,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P1negcontrol3,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P2negcontrol6,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P3negcontrol3,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P4negcontrol3,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P5negcontrol2,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P5negcontrol3,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P5negcontrol5,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P5negcontrol7,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P5negcontrol8,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P7negcontrol1,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P7negcontrol2,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P7negcontrol3,NA,NA,NA
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,P7negcontrol4,NA,NA,NA
boat,bilge,biofilm,boat_bilge_biofilm,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,Lookdown,c17t4bf,30,39,202.28
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,openwater,c17t4pre,30,39,202.28
boat,surface,hull,boat_surface_hull,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,Lookdown,c17t4hull,30,39,202.28
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,openwater,c17t4post,30,39,202.28
boat,surface,transom,boat_surface_transom,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,Lookdown,c17t4rear,30,39,202.28
boat,bilge,water,boat_bilge_water,37.456558,-76.171379,Lookdown,t4,bay,Chesapeake,255.0226048,16.90619489,0.125260781,46.34904293,0.095014444,0.066471924,NA,NA,NA,NA,NA,NA,Lookdown,c17t4bw,30,39,202.28
boat,bilge,biofilm,boat_bilge_biofilm,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,952,77.6,25.33333333,8.8,8.19,47.4,Callinectes,c15t1bf,15,33,155.76
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,NA,NA,NA,NA,NA,NA,openwater,c15t1pre,15,33,155.76
boat,surface,hull,boat_surface_hull,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,NA,NA,NA,NA,NA,NA,Callinectes,c15t1hull,15,33,155.76
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,NA,NA,NA,NA,NA,NA,openwater,c15t1post,15,33,155.76
boat,surface,transom,boat_surface_transom,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,NA,NA,NA,NA,NA,NA,Callinectes,c15t1rear,15,33,155.76
boat,bilge,water,boat_bilge_water,37.881409,-76.175911,Callinectes,t1,bay,Chesapeake,300.4820702,20.29742909,1.089327313,40.83715399,0.141588225,0.053747298,NA,NA,NA,NA,NA,NA,Callinectes,c15t1bw,15,33,155.76
boat,bilge,biofilm,boat_bilge_biofilm,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,Callinectes,c15t2bf,31,34,156.02
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,openwater,c15t2pre,31,34,156.02
boat,surface,hull,boat_surface_hull,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,Callinectes,c15t2hull,31,34,156.02
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,openwater,c15t2post,31,34,156.02
boat,surface,transom,boat_surface_transom,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,Callinectes,c15t2rear,31,34,156.02
boat,bilge,water,boat_bilge_water,37.878311,-76.180313,Callinectes,t2,bay,Chesapeake,265.4299916,21.36120571,0.194214815,37.96237086,0.37956649,0.020511336,NA,NA,NA,NA,NA,NA,Callinectes,c15t2bw,31,34,156.02
boat,bilge,biofilm,boat_bilge_biofilm,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,Lookdown,c15t4bf,31,35,156.83
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,openwater,c15t4pre,31,35,156.83
boat,surface,hull,boat_surface_hull,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,Lookdown,c15t4hull,31,35,156.83
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,openwater,c15t4post,31,35,156.83
boat,surface,transom,boat_surface_transom,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,Lookdown,c15t4rear,31,35,156.83
boat,bilge,water,boat_bilge_water,37.870808,-76.180412,Lookdown,t4,bay,Chesapeake,246.6134364,17.10609922,0.20929851,51.74736059,0.127832256,0.096352636,NA,NA,NA,NA,NA,NA,Lookdown,c15t4bw,31,35,156.83
boat,bilge,biofilm,boat_bilge_biofilm,37.382809,-76.18071,Callinectes,t2,bay,Chesapeake,254.5230503,19.65487945,0.452302712,32.06828934,0.248884784,0.060331184,NA,NA,NA,NA,NA,NA,Callinectes,c17t2bf,30,40,210.25
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.382809,-76.18071,Callinectes,t2,bay,Chesapeake,254.5230503,19.65487945,0.452302712,32.06828934,0.248884784,0.060331184,NA,NA,NA,NA,NA,NA,openwater,c17t2pre,30,40,210.25
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,37.382809,-76.18071,Callinectes,t2,bay,Chesapeake,254.5230503,19.65487945,0.452302712,32.06828934,0.248884784,0.060331184,NA,NA,NA,NA,NA,NA,openwater,c17t2post,30,40,210.25
boat,surface,transom,boat_surface_transom,37.382809,-76.18071,Callinectes,t2,bay,Chesapeake,254.5230503,19.65487945,0.452302712,32.06828934,0.248884784,0.060331184,NA,NA,NA,NA,NA,NA,Callinectes,c17t2rear,30,40,210.25
boat,bilge,water,boat_bilge_water,37.382809,-76.18071,Callinectes,t2,bay,Chesapeake,254.5230503,19.65487945,0.452302712,32.06828934,0.248884784,0.060331184,NA,NA,NA,NA,NA,NA,Callinectes,c17t2bw,30,40,210.25
boat,bilge,biofilm,boat_bilge_biofilm,37.88509,-76.182495,Lookdown,t3,bay,Chesapeake,258.5194868,18.54112675,0.413956825,73.35440243,0.408060998,0.12749948,7978,81,27.22222222,8.78,6.44,-8.7,Lookdown,c15t3bf,15,32,155.24
openwater,filter,glass_fiber,openwater_filter_glass_fiber,37.88509,-76.182495,Lookdown,t3,bay,Chesapeake,258.5194868,18.54112675,0.413956825,73.35440243,0.408060998,0.12749948,NA,NA,NA,NA,NA,NA,openwater,c15t3pre,15,32,155.24
boat,surface,hull,boat_surface_hull,37.88509,-76.182495,Lookdown,t3,bay,Chesapeake,258.5194868,18.54112675,0.413956825,73.35440243,0.408060998,0.12749948,NA,NA,NA,NA,NA,NA,Lookdown,c15t3hull,15,32,155.24
