sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
bilgedribble,ChesapeakeBay,two,drip,drip,Norfolk,Callinectes,Box5-39,R1,not_duplicate,Box5-39
bilgedribble,ChesapeakeBay,two,drip,drip,Norfolk,Callinectes,Box5-42,R1,not_duplicate,Box5-42
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box10-4,R1,not_duplicate,Box10-4
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box1-23,R1,not_duplicate,Box1-23
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,NA,Box1-13o,R1,not_duplicate,Box1-13o
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,NA,Box1-19o,R1,not_duplicate,Box1-19o
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-7o,R1,not_duplicate,Box1-7o
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,NA,Box1-21,R1,not_duplicate,Box1-21
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-9,R1,not_duplicate,Box1-9
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,NA,Box1-5o,R1,not_duplicate,Box1-5o
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,NA,Box5-14,R1,not_duplicate,Box5-14
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,NA,Box5-13,R1,not_duplicate,Box5-13
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box5-15,R1,not_duplicate,Box5-15
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,NA,Box5-2,R1,not_duplicate,Box5-2
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box5-1,R1,not_duplicate,Box5-1
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,NA,Box5-16,R1,not_duplicate,Box5-16
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,NA,Box7-6,R1,not_duplicate,Box7-6
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,NA,Box7-5,R1,not_duplicate,Box7-5
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-7,R1,not_duplicate,Box7-7
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-32,R1,not_duplicate,Box7-32
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-31,R1,not_duplicate,Box7-31
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-8,R1,not_duplicate,Box7-8
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box11-2,R1,not_duplicate,Box11-2
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box11-1,R1,not_duplicate,Box11-1
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box11-3,R1,not_duplicate,Box11-3
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box11-33,R1,not_duplicate,Box11-33
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box11-32,R1,not_duplicate,Box11-32
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box11-4,R1,not_duplicate,Box11-4
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-34,R1,not_duplicate,Box2-34
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-33,R1,not_duplicate,Box2-33
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-35,R1,not_duplicate,Box2-35
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-2,R1,not_duplicate,Box2-2
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-1,R1,not_duplicate,Box2-1
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-36,R1,not_duplicate,Box2-36
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-18,R1,not_duplicate,Box5-18
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box5-17,R1,not_duplicate,Box5-17
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box5-19,R1,not_duplicate,Box5-19
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box5-4,R1,not_duplicate,Box5-4
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box5-3,R1,not_duplicate,Box5-3
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-10,R1,not_duplicate,Box7-10
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-9,R1,not_duplicate,Box7-9
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-11,R1,not_duplicate,Box7-11
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-34,R1,not_duplicate,Box7-34
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-33,R1,not_duplicate,Box7-33
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-12,R1,not_duplicate,Box7-12
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-30,R1,not_duplicate,Box10-30
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-29,R1,not_duplicate,Box10-29
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-31,R1,not_duplicate,Box10-31
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-52,R1,not_duplicate,Box10-52
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-51,R1,not_duplicate,Box10-51
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-32,R1,not_duplicate,Box10-32
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-30,R1,not_duplicate,Box2-30
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-29,R1,not_duplicate,Box2-29
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-31,R1,not_duplicate,Box2-31
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-4,R1,not_duplicate,Box2-4
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-3,R1,not_duplicate,Box2-3
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-32,R1,not_duplicate,Box2-32
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-14,R1,not_duplicate,Box7-14
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-13,R1,not_duplicate,Box7-13
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-15,R1,not_duplicate,Box7-15
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-36,R1,not_duplicate,Box7-36
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-35,R1,not_duplicate,Box7-35
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-16,R1,not_duplicate,Box7-16
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-26,R1,not_duplicate,Box2-26
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-25,R1,not_duplicate,Box2-25
