sample_type,transit,location,boat,filter_type,swab_type,n
bilgedribble,two,Norfolk,Callinectes,drip,drip,2
blank,NA,NA,NA,NA,NA,12
boat,four,Norfolk,Lookdown,nonfilter,bilgebiofilm,13
boat,four,Norfolk,Lookdown,nonfilter,bilgewater,13
boat,four,Norfolk,Lookdown,nonfilter,hull,11
boat,four,Norfolk,Lookdown,nonfilter,rear,11
boat,one,Baltimore,Callinectes,nonfilter,bilgebiofilm,24
boat,one,Baltimore,Callinectes,nonfilter,bilgewater,22
boat,one,Baltimore,Callinectes,nonfilter,hull,24
boat,one,Baltimore,Callinectes,nonfilter,rear,22
boat,one,Baltimore,NA,nonfilter,bilgebiofilm,1
boat,one,Baltimore,NA,nonfilter,bilgewater,1
boat,one,Baltimore,NA,nonfilter,rear,1
boat,three,Baltimore,Lookdown,nonfilter,bilgebiofilm,24
boat,three,Baltimore,Lookdown,nonfilter,bilgewater,23
boat,three,Baltimore,Lookdown,nonfilter,hull,22
boat,three,Baltimore,Lookdown,nonfilter,rear,20
boat,three,Baltimore,NA,nonfilter,bilgebiofilm,1
boat,three,Baltimore,NA,nonfilter,bilgewater,1
boat,two,Norfolk,Callinectes,drip,drip,1
boat,two,Norfolk,Callinectes,nonfilter,bilgebiofilm,10
boat,two,Norfolk,Callinectes,nonfilter,bilgewater,9
boat,two,Norfolk,Callinectes,nonfilter,hull,8
boat,two,Norfolk,Callinectes,nonfilter,internalbilgebiofilm,4
boat,two,Norfolk,Callinectes,nonfilter,rear,7
boat,two,Norfolk,NA,nonfilter,bilgebiofilm,1
boat,two,Norfolk,NA,nonfilter,bilgewater,1
boat,two,Norfolk,NA,nonfilter,rear,1
control,NA,NA,NA,NA,NA,1
openwater,four,Norfolk,Lookdown,post,nonswab,12
openwater,four,Norfolk,Lookdown,pre,nonswab,13
openwater,one,Baltimore,Callinectes,post,nonswab,23
openwater,one,Baltimore,Callinectes,pre,nonswab,24
openwater,one,Baltimore,NA,post,nonswab,1
openwater,three,Baltimore,Lookdown,post,nonswab,25
openwater,three,Baltimore,Lookdown,pre,nonswab,25
openwater,two,Norfolk,Callinectes,post,nonswab,10
openwater,two,Norfolk,Callinectes,pre,nonswab,11
openwater,two,Norfolk,NA,post,nonswab,1
openwater,NA,NA,NA,post,nonswab,1
