old_fastq_name,read,new_fastq_name,is.duplicated
Box1-1,R1,c2t1post,not_duplicate
Box1-10,R1,c6t1post,not_duplicate
Box1-10o,R1,c4t1bf,not_duplicate
Box1-10x,R1,c9t1bf,not_duplicate
Box1-11,R1,c9t1pre,not_duplicate
Box1-11o,R1,c6t1bf,not_duplicate
Box1-11x,R1,tft1bf,not_duplicate
Box1-12,R1,tft1pre,not_duplicate
Box1-12o,R1,c8t1bf,not_duplicate
Box1-12x,R1,c5t1bw,not_duplicate
Box1-13,R1,c8t1pre,not_duplicate
Box1-13o,R1,c10t1bf,not_duplicate
Box1-13x,R1,c1t1hull,not_duplicate
Box1-14,R1,c4t1pre,not_duplicate
Box1-14o,R1,c6t1hull,not_duplicate
Box1-14x,R1,c3t1hull,not_duplicate
Box1-15,R1,c3t1post,not_duplicate
Box1-15o,R1,t0t1bw,not_duplicate
Box1-15x,R1,c5t1hull,not_duplicate
Box1-16,R1,tft1post,not_duplicate
Box1-16o,R1,c3t1bw,not_duplicate
Box1-16x,R1,c7t1hull,not_duplicate
Box1-17o,R1,c4t1bw,not_duplicate
Box1-17x,R1,c9t1hull,not_duplicate
Box1-18,R1,c4t1post,not_duplicate
Box1-18o,R1,c6t1bw,not_duplicate
Box1-18x,R1,tft1rear,not_duplicate
Box1-19,R1,c9t1post,not_duplicate
Box1-19o,R1,c10t1bw,not_duplicate
Box1-19x,R1,c1t1bf,not_duplicate
Box1-1o,R1,tft1bw,not_duplicate
Box1-1x,R1,c3t1bf,not_duplicate
Box1-1y,R1,c2t1bf,not_duplicate
Box1-2,R1,c5t1post,not_duplicate
Box1-20,R1,c7t1pre,not_duplicate
Box1-20o,R1,c8t1bw,not_duplicate
Box1-20x,R1,c1t1bw,not_duplicate
Box1-21,R1,c10t1post,not_duplicate
Box1-21o,R1,t0t1trans,not_duplicate
Box1-21x,R1,t0t1hull,not_duplicate
Box1-22,R1,c7t1post,not_duplicate
Box1-22o,R1,c2t1rear,not_duplicate
Box1-22x,R1,c9t1bw,not_duplicate
Box1-23,R1,blank3r1,not_duplicate
Box1-23o,R1,c2t1hull,not_duplicate
Box1-23x,R1,c7t1bw,not_duplicate
Box1-2o,R1,c4t1rear,not_duplicate
Box1-2x,R1,c5t1bf,not_duplicate
Box1-2y,R1,c2t1bw,not_duplicate
Box1-3,R1,c2t1pre,not_duplicate
Box1-3o,R1,c6t1rear,not_duplicate
Box1-3x,R1,c1t1rear,not_duplicate
Box1-4,R1,c5t1pre,not_duplicate
Box1-4o,R1,c8t1rear,not_duplicate
Box1-4x,R1,c3t1rear,not_duplicate
Box1-5,R1,c1t1pre,not_duplicate
Box1-5o,R1,c10t1rear,not_duplicate
Box1-5x,R1,c5t1rear,not_duplicate
Box1-6,R1,c3t1pre,not_duplicate
Box1-6o,R1,c8t1hull,not_duplicate
Box1-6x,R1,c7t1rear,not_duplicate
Box1-7,R1,c1t1post,not_duplicate
Box1-7o,R1,c10t1hull,not_duplicate
Box1-7x,R1,c9t1rear,not_duplicate
Box1-8,R1,c6t1pre,not_duplicate
Box1-8o,R1,c4t1hull,not_duplicate
Box1-8x,R1,tft1hull,not_duplicate
Box1-9,R1,c10t1pre,not_duplicate
Box1-9o,R1,t0t1bf,not_duplicate
Box1-9x,R1,c7t1bf,not_duplicate
Box10-1,R1,c25t4bw,not_duplicate
Box10-10,R1,c21t4bf,not_duplicate
Box10-11,R1,c21t4hull,not_duplicate
Box10-12,R1,c21t4rear,not_duplicate
Box10-13,R1,c19t4bw,not_duplicate
Box10-14,R1,c19t4bf,not_duplicate
Box10-15,R1,c19t4hull,not_duplicate
Box10-16,R1,c19t4rear,not_duplicate
Box10-17,R1,c17t4bw,not_duplicate
Box10-18,R1,c17t4bf,not_duplicate
Box10-19,R1,c17t4hull,not_duplicate
Box10-2,R1,c25t4bf,not_duplicate
Box10-20,R1,c17t4rear,not_duplicate
Box10-21,R1,c15t4bw,not_duplicate
Box10-22,R1,c15t4bf,not_duplicate
Box10-23,R1,c15t4hull,not_duplicate
Box10-24,R1,c15t4rear,not_duplicate
Box10-25,R1,c13t4bw,not_duplicate
Box10-26,R1,c13t4bf,not_duplicate
Box10-27,R1,c13t4hull,not_duplicate
Box10-28,R1,c13t4rear,not_duplicate
Box10-29,R1,c11t4bw,not_duplicate
Box10-3,R1,c25t4hull,not_duplicate
Box10-30,R1,c11t4bf,not_duplicate
Box10-31,R1,c11t4hull,not_duplicate
Box10-32,R1,c11t4rear,not_duplicate
Box10-33,R1,t0t4bw,not_duplicate
Box10-34,R1,t0t4bf,not_duplicate
Box10-35,R1,t0t4hull,not_duplicate
Box10-36,R1,t0t4rear,not_duplicate
Box10-37,R1,c25t4pre,not_duplicate
Box10-38,R1,c25t4post,not_duplicate
Box10-39,R1,c23t4pre,not_duplicate
Box10-4,R1,blank31r1,not_duplicate
Box10-40,R1,c23t4post,not_duplicate
Box10-41,R1,c21t4pre,not_duplicate
Box10-42,R1,c21t4post,not_duplicate
Box10-43,R1,c19t4pre,not_duplicate
Box10-44,R1,c19t4post,not_duplicate
Box10-45,R1,c17t4pre,not_duplicate
Box10-46,R1,c17t4post,not_duplicate
Box10-47,R1,c15t4pre,not_duplicate
Box10-48,R1,c15t4post,not_duplicate
Box10-49,R1,c13t4pre,not_duplicate
Box10-5,R1,c23t4bw,not_duplicate
Box10-50,R1,c13t4post,not_duplicate
Box10-51,R1,c11t4pre,not_duplicate
Box10-52,R1,c11t4post,not_duplicate
Box10-53,R1,t0t4pre,not_duplicate
Box10-54,R1,t0t4post,not_duplicate
Box10-6,R1,c23t4bf,not_duplicate
Box10-7,R1,c23t4hull,not_duplicate
Box10-8,R1,c23t4rear,not_duplicate
Box10-9,R1,c21t4bw,not_duplicate
Box11-1,R1,c10t4bw,not_duplicate
Box11-10,R1,c27t4bf,not_duplicate
Box11-11,R1,c27t4hull,not_duplicate
Box11-12,R1,c27t4rear,not_duplicate
Box11-13,R1,tft4bw,not_duplicate
Box11-14,R1,tft4bf,not_duplicate
Box11-15,R1,tft4hull,not_duplicate
Box11-16,R1,tft4rear,not_duplicate
Box11-17,R1,swabblank1t4,not_duplicate
Box11-18,R1,swabblank2t4,not_duplicate
Box11-19,R1,swabblank3t4,not_duplicate
Box11-2,R1,c10t4bf,not_duplicate
Box11-20,R1,swabblank4t4,not_duplicate
Box11-21,R1,swabblank5t4,not_duplicate
Box11-22,R1,preblank1t4,not_duplicate
Box11-23,R1,preblank2t4,not_duplicate
Box11-24,R1,preblank3t4,not_duplicate
Box11-25,R1,preblank4t4,not_duplicate
Box11-26,R1,preblank5t4,not_duplicate
Box11-27,R1,postblank1t4,not_duplicate
Box11-28,R1,postblank2t4,not_duplicate
Box11-29,R1,postblank3t4,not_duplicate
Box11-3,R1,c10t4hull,not_duplicate
Box11-30,R1,postblank4t4,not_duplicate
Box11-31,R1,postblank5t4,not_duplicate
Box11-32,R1,c10t4pre,not_duplicate
Box11-33,R1,c10t4post,not_duplicate
Box11-34,R1,c26t4pre,not_duplicate
Box11-35,R1,c26t4post,not_duplicate
Box11-36,R1,c27t4pre,not_duplicate
